team,matches_played,wins,draws,losses,goals_scored,goals_conceded,avg_goals_scored,avg_goals_conceded,win_rate,draw_rate,loss_rate,goal_difference
Kyrgyzstan,189,57,31,101,220,321,1.164021164021164,1.6984126984126984,0.30158730158730157,0.164021164021164,0.5343915343915344,-101
French Guiana,179,54,39,86,267,306,1.4916201117318435,1.7094972067039107,0.3016759776536313,0.21787709497206703,0.48044692737430167,-39
Equatorial Guinea,178,49,40,89,156,261,0.8764044943820225,1.4662921348314606,0.2752808988764045,0.2247191011235955,0.5,-105
Seychelles,176,26,30,120,135,398,0.7670454545454546,2.2613636363636362,0.14772727272727273,0.17045454545454544,0.6818181818181818,-263
Turkmenistan,175,64,32,79,265,266,1.5142857142857142,1.52,0.3657142857142857,0.18285714285714286,0.4514285714285714,-1
Montenegro,168,57,40,71,198,231,1.1785714285714286,1.375,0.3392857142857143,0.23809523809523808,0.4226190476190476,-33
Puerto Rico,162,41,26,95,205,379,1.2654320987654322,2.3395061728395063,0.25308641975308643,0.16049382716049382,0.5864197530864198,-174
Dominican Republic,158,62,26,70,264,250,1.6708860759493671,1.5822784810126582,0.3924050632911392,0.16455696202531644,0.4430379746835443,14
Gibraltar,157,37,20,100,169,394,1.0764331210191083,2.5095541401273884,0.2356687898089172,0.12738853503184713,0.6369426751592356,-225
Papua New Guinea,155,52,29,74,336,312,2.167741935483871,2.0129032258064514,0.33548387096774196,0.1870967741935484,0.4774193548387097,24
Aruba,151,32,31,88,199,353,1.3178807947019868,2.337748344370861,0.2119205298013245,0.2052980132450331,0.5827814569536424,-154
Comoros,150,35,35,80,133,244,0.8866666666666667,1.6266666666666667,0.23333333333333334,0.23333333333333334,0.5333333333333333,-111
Macau,145,21,16,108,113,447,0.7793103448275862,3.0827586206896553,0.14482758620689656,0.1103448275862069,0.7448275862068966,-334
Afghanistan,144,35,34,75,141,289,0.9791666666666666,2.0069444444444446,0.24305555555555555,0.2361111111111111,0.5208333333333334,-148
Chad,138,26,34,78,117,238,0.8478260869565217,1.7246376811594204,0.18840579710144928,0.2463768115942029,0.5652173913043478,-121
Brunei,137,22,11,104,107,449,0.781021897810219,3.2773722627737225,0.16058394160583941,0.08029197080291971,0.7591240875912408,-342
Central African Republic,136,29,28,79,145,259,1.0661764705882353,1.9044117647058822,0.21323529411764705,0.20588235294117646,0.5808823529411765,-114
Alderney,135,5,2,128,73,620,0.5407407407407407,4.592592592592593,0.037037037037037035,0.014814814814814815,0.9481481481481482,-547
Réunion,124,53,22,49,219,220,1.7661290322580645,1.7741935483870968,0.4274193548387097,0.1774193548387097,0.3951612903225806,-1
Somalia,124,11,15,98,62,330,0.5,2.661290322580645,0.08870967741935484,0.12096774193548387,0.7903225806451613,-268
Belize,121,31,20,70,133,233,1.0991735537190082,1.9256198347107438,0.256198347107438,0.1652892561983471,0.5785123966942148,-100
